CCHANNELCODE,CTITLE_TXT,CONTENT,CRELEASETIME,CRELEASETIME2,CURL,DOCID,FILESIZE,MIMETYPE
8349,恒源煤电可转换公司债券募集说明书,安徽恒源煤电股份有限公司 （安徽省淮北市濉溪县刘桥镇） 股票简称：恒源煤电 股票代码,2007-09-20,00:00:00,/disclosure/listedinfo/announcement/c/2007-09-20/600971_20070920_3.pdf,366e3873a87640a59f9d59de1c906a85,,pdf
8415,恒源煤电可转换公司债券募集说明书摘要,安徽恒源煤电股份有限公司 （安徽省淮北市濉溪县刘桥镇） 股票简称：恒源煤电 股票代码,2007-09-20,00:00:00,/disclosure/listedinfo/announcement/c/2007-09-20/600971_20070920_4.pdf,CMS3662446,,pdf
8415,恒源煤电可转换公司债券募集说明书,安徽恒源煤电股份有限公司 （安徽省淮北市濉溪县刘桥镇） 股票简称：恒源煤电 股票代码,2007-09-20,00:00:00,/disclosure/listedinfo/announcement/c/2007-09-20/600971_20070920_3.pdf,CMS3662190,,pdf
8349,山鹰纸业发行可转换公司债券募集说明书,安徽山鹰纸业股份有限公司 （安徽省马鞍山市勤俭路 3 号） 发行可转换公司债券募集说明,2007-08-31,00:00:00,/disclosure/listedinfo/announcement/c/2007-08-31/600567_20070831_3.pdf,6cc0d29a823041d893e304431850f3f3,,pdf
8349,山鹰纸业发行可转换公司债券募集说明书摘要,安徽山鹰纸业股份有限公司 （安徽省马鞍山市勤俭路 3 号） 发行可转换公司债券募集说明,2007-08-31,00:00:00,/disclosure/listedinfo/announcement/c/2007-08-31/600567_20070831_4.pdf,f9646e19670e413eb28e021cd5abd916,,pdf
8415,山鹰纸业发行可转换公司债券募集说明书,安徽山鹰纸业股份有限公司 （安徽省马鞍山市勤俭路 3 号） 发行可转换公司债券募集说明,2007-08-31,00:00:00,/disclosure/listedinfo/announcement/c/2007-08-31/600567_20070831_3.pdf,CMS3662780,,pdf
8415,山鹰纸业发行可转换公司债券募集说明书摘要,安徽山鹰纸业股份有限公司 （安徽省马鞍山市勤俭路 3 号） 发行可转换公司债券募集说明,2007-08-31,00:00:00,/disclosure/listedinfo/announcement/c/2007-08-31/600567_20070831_4.pdf,CMS3662654,,pdf
8349,三一重工公司债券募集说明书摘要,2007 年三一重工股份有限公司公司债券募集说明书摘要 证券代码：600031 证券简称：三一,2007-07-04,00:00:00,/disclosure/listedinfo/announcement/c/2007-07-04/600031_20070704_3.pdf,8a82fa768d314ba1ba034fd6c868bc0d,,pdf
8349,中海发展发行可转换公司债券募集说明书,中海发展股份有限公司 （上海市浦东新区源深路 168 号） 发行可转换公司债券募集说明书,2007-06-27,00:00:00,/disclosure/listedinfo/announcement/c/2007-06-27/600026_20070627_3.pdf,af0f7743a8ed48d3a531b4803ccb12b0,,pdf
8349,中海发展发行可转换公司债券募集说明书摘要,本次证券发行的募集文件 募集说明书摘要 1-2-1 中海发展股份有限公司 （上海市浦东新区,2007-06-27,00:00:00,/disclosure/listedinfo/announcement/c/2007-06-27/600026_20070627_4.pdf,afc84d34d6dc4485a827ba867bf90151,,pdf
8349,中国铝业公司债券募集说明书摘要,公司代码：601600 公司简称：中国铝业 公告编号：临 2007-7 2007 年中国铝业股份有限公,2007-06-13,00:00:00,/disclosure/listedinfo/announcement/c/2007-06-13/601600_20070613_2.pdf,9f3f2b01f9dd42d080783a1802c447eb,,pdf
8349,澄星股份发行可转换公司债券募集说明书附录,第一章 本次证券发行的募集文件 募集说明书 股票代码：600078 股票简称：澄星股份 江苏,2007-04-27,00:00:00,/disclosure/listedinfo/announcement/c/2007-04-27/600078_20070427_2.pdf,38f7436c321d42b9904105bf77a79826,,pdf
8415,澄星股份发行可转换公司债券募集说明书,1 股票代码：600078 股票简称：澄星股份 江苏澄星磷化工股份有限公司 Jiangsu ChengXi,2007-04-27,00:00:00,/disclosure/listedinfo/announcement/c/2007-04-27/600078_20070427_1.pdf,CMS3662354,,pdf
8415,澄星股份发行可转换公司债券募集说明书附录,第一章 本次证券发行的募集文件 募集说明书 股票代码：600078 股票简称：澄星股份 江苏,2007-04-27,00:00:00,/disclosure/listedinfo/announcement/c/2007-04-27/600078_20070427_2.pdf,CMS3662942,,pdf
8415,澄星股份发行可转换公司债券募集说明书摘要,1 股票代码：600078 股票简称：澄星股份 编号：临 2007-014 江苏澄星磷化工股份有限公,2007-04-27,00:00:00,/disclosure/listedinfo/announcement/c/2007-04-27/600078_20070427_5.pdf,CMS3662648,,pdf
8349,武钢股份认股权和债券分离交易的可转换公司债券募集说明书摘要,武钢股份认股权和债券分离交易的可转换公司债券 募集说明书摘要 1-2-1 股票简称：武钢,2007-03-21,00:00:00,/disclosure/listedinfo/announcement/c/2007-03-21/600005_20070321_4.pdf,95f5596643d5497dbb17f499a909dd0d,,pdf
8415,武钢股份认股权和债券分离交易的可转换公司债券募集说明书,股票简称：武钢股份 股票代码：600005 认股权和债券分离交易的可转换公司债券 募集说明,2007-03-21,00:00:00,/disclosure/listedinfo/announcement/c/2007-03-21/600005_20070321_3.pdf,CMS3662076,,pdf
8414,武钢股份认股权和债券分离交易的可转换公司债券募集说明书摘要,武钢股份认股权和债券分离交易的可转换公司债券 募集说明书摘要 1-2-1 股票简称：武钢,2007-03-21,00:00:00,/disclosure/listedinfo/announcement/c/2007-03-21/600005_20070321_4.pdf,CMS3661834,,pdf
