公司全称,公司简称,公告日期,风险词汇频数,前后存在无等的风险频数,整个债券书字数,风险部分字数统计,风险自然段落统计,风险限定字数句子统计,风险所有句子统计,是否检测到风险章节,文档名称
上海浦东路桥建设股份有限公司,,2011-10-20,58,6,94117,4731,25,41,64,是,上海浦东路桥建设股份有限公司公开发行2011年公司债券募集说明书_122097_20111020_2
公司,,2011-10-20,58,6,94117,4731,25,41,64,是,浦东建设公开发行2011年公司债券募集说明书_600284_20111020_2
大连港股份有限公司,,2011-09-22,50,7,98610,3787,23,29,57,是,大连港股份有限公司公开发行2011年第二期公司债券募集说明书_122099_20110922_2
大连港股份有限公司,,2011-09-22,50,7,98610,3787,23,29,57,是,大连港公开发行2011年第二期公司债券募集说明书_601880_20110922_2
新疆八一钢铁股份有限公司,八一钢铁,2011-09-14,53,6,80037,4390,24,37,61,是,新疆八一钢铁股份有限公司公开发行2011年公司债券募集说明书_122098_20110914_2
新疆八一钢铁股份有限公司,八一钢铁,2011-09-14,53,6,80037,4390,24,37,61,是,八一钢铁公开发行2011年公司债券募集说明书_600581_20110914_3
江苏综艺股份有限公司,,2011-08-29,44,7,103746,2861,22,22,40,是,江苏综艺股份有限公司2011年公开发行公司债券募集说明书_122088_20110829_3
江苏综艺股份有限公司,,2011-08-29,44,7,103746,2861,22,22,40,是,综艺股份2011年公开发行公司债券募集说明书_600770_20110829_3
河南中孚实业股份有限公司,,2011-08-25,63,15,91246,3306,21,23,50,是,河南中孚实业股份有限公司公开发行2011年公司债券募集说明书_122093_20110825_2
河南中孚实业股份有限公司,,2011-08-25,63,15,91246,3306,21,23,50,是,中孚实业公开发行2011年公司债券募集说明书_600595_20110825_2
马鞍山钢铁股份有限公司,马钢股份,2011-08-23,48,3,106960,6214,30,50,76,是,马鞍山钢铁股份有限公司公开发行2011年公司债券募集说明书_122090_20110823_2
马鞍山钢铁股份有限公司,马钢股份,2011-08-23,48,3,106960,6214,30,50,76,是,马鞍山钢铁股份有限公司公开发行2011年公司债券募集说明书_122089_20110823_2
浙江海正药业股份有限公司,海正药业,2011-08-23,56,7,117240,2894,16,24,41,是,浙江海正药业股份有限公司公开发行公司债券募集说明书_122094_20110823_2
马钢公司,马钢股份,2011-08-23,48,3,106960,6214,30,50,76,是,马钢股份公开发行2011年公司债券募集说明书_600808_20110823_2
海正药业 股票代码公司,海正药业,2011-08-23,56,7,117240,2894,16,24,41,是,海正药业公开发行公司债券募集说明书_600267_20110823_2
杭州钢铁股份有限公司,杭钢股份,2011-08-22,45,5,85663,4736,29,34,59,是,杭州钢铁股份有限公司公开发行公司债券募集说明书_122095_20110822_2
杭钢公司,杭钢股份,2011-08-22,45,5,85663,4736,29,34,59,是,杭钢股份公开发行公司债券募集说明书_600126_20110822_2
电力 股票代码公司,国电电力,2011-08-17,49,4,178564,3072,22,27,47,是,国电电力公开发行可转换公司债券募集说明书_600795_20110817_3
电力 股票代码公司,国电电力,2011-08-17,49,4,178564,3072,22,27,47,是,国电电力公开发行可转换公司债券募集说明书_600795_20110817_3
大秦铁路股份有限公司,,2011-08-16,58,2,117566,4305,28,35,63,是,大秦铁路股份有限公司公开发行公司债券募集说明书_122092_20110816_3
大秦铁路股份有限公司,,2011-08-16,58,2,117566,4305,28,35,63,是,大秦铁路公开发行公司债券募集说明书_601006_20110816_3
重庆机电股份有限公司,重庆机电,2011-08-15,79,6,110724,6115,25,40,79,是,重庆机电股份有限公司公开发行公司债券募集说明书_122091_20110815_2
凌源钢铁股份有限公司,凌钢股份,2011-07-28,49,8,110048,4592,30,34,64,是,凌源钢铁股份有限公司公开发行公司债券募集说明书_122087_20110728_2
中海发展股份有限公司,,2011-07-28,118,5,171634,6943,42,53,102,是,中海发展发行A股可转换公司债券募集说明书_600026_20110728_3
凌钢股份公开发行公司,凌钢股份,2011-07-28,49,8,110048,4592,30,34,64,是,凌钢股份公开发行公司债券募集说明书_600231_20110728_2
中海发展股份有限公司,,2011-07-28,118,5,171634,6943,42,53,102,是,中海发展发行A股可转换公司债券募集说明书_600026_20110728_3
公司,,2011-07-25,68,6,105822,3752,25,28,59,是,深高速公开发行2011年公司债券募集说明书_600548_20110725_4
浙江正泰电器股份有限公司,正泰电器,2011-07-18,58,12,92072,5660,28,39,78,是,浙江正泰电器股份有限公司公开发行2011年公司债券募集说明书_122086_20110718_3
公司,正泰电器,2011-07-18,58,12,92072,5660,28,39,78,是,正泰电器公开发行2011年公司债券募集说明书_601877_20110718_3
湘潭电机股份有限公司,湘电股份,2011-07-13,72,7,102546,5066,29,43,67,是,湘潭电机股份有限公司公开发行公司债券募集说明书_122084_20110713_3
 湘潭电机股份有限公司,湘电股份,2011-07-13,72,7,102546,5066,29,43,67,是,湘电股份公开发行公司债券募集说明书_600416_20110713_3
保定天威保变电气股份有限公司,,2011-07-06,54,11,99627,3787,24,31,53,是,保定天威保变电气股份有限公司公开发行公司债券募集说明书_122083_20110706_3
保定天威保变电气股份有限公司,,2011-07-06,54,11,99627,3787,24,31,53,是,天威保变公开发行公司债券募集说明书_600550_20110706_3
广东肇庆星湖生物科技股份有限公司,星湖科技,2011-07-05,64,12,103036,5332,26,41,63,是,广东肇庆星湖生物科技股份有限公司公开发行公司债券募集说明书_122081_20110705_2
南海发展股份有限公司,南海发展,2011-07-05,44,8,94877,2398,18,20,38,是,南海发展股份有限公司公开发行公司债券募集说明书_122082_20110705_2
星湖科技 股票代码公司,星湖科技,2011-07-05,64,12,103036,5332,26,41,63,是,星湖科技公开发行公司债券募集说明书_600866_20110705_2
南海发展 股票代码：600323 南海发展股份有限公司,南海发展,2011-07-05,44,8,94877,2398,18,20,38,是,南海发展公开发行公司债券募集说明书_600323_20110705_2
康美药业股份有限公司,康美药业,2011-06-17,66,5,97870,5375,25,38,75,是,康美药业股份有限公司公开发行公司债券募集说明书_122080_20110617_1
广东东阳光铝业股份有限公司,,2011-06-13,52,8,92990,4484,23,30,49,是,东阳光铝公开发行2011年公司债券募集说明书_600673_20110613_3
西宁特钢 公司,西宁特钢,2011-06-13,40,4,77453,3935,21,30,51,是,西宁特钢公开发行2011年公司债券募集说明书_600117_20110613_3
浙江康恩贝制药股份有限公司,,2011-06-03,37,4,100629,2167,14,16,28,是,康恩贝2011年公开发行公司债券募集说明书_600572_20110603_3
云南云维股份有限公司,云维股份,2011-05-30,88,12,106875,4793,29,32,67,是,云南云维股份有限公司公开发行公司债券募集说明书_122073_20110530_3
柳州钢铁股份有限公司,柳钢股份,2011-05-30,36,4,79766,6272,32,51,74,是,柳州钢铁股份有限公司公开发行公司债券募集说明书_122075_20110530_3
柳钢公司,柳钢股份,2011-05-30,36,4,79766,6272,32,51,74,是,柳钢股份公开发行公司债券募集说明书_601003_20110530_3
 云南云维股份有限公司,云维股份,2011-05-30,88,12,106875,4793,29,32,67,是,云维股份公开发行公司债券募集说明书_600725_20110530_3
海航 B股 股票代码公司,海南航空,2011-05-20,80,4,114067,5359,25,37,68,是,海南航空公开发行公司债券募集说明书_600221_20110520_3
大连港股份有限公司,,2011-05-19,52,7,91101,3740,24,31,56,是,大连港股份有限公司公开发行公司债券募集说明书_122072_20110519_3
安徽海螺水泥股份有限公司,,2011-05-19,52,5,100721,3185,20,18,44,是,安徽海螺水泥股份有限公司2011年公开发行公司债券募集说明书_122068_20110519_3
安徽海螺水泥股份有限公司,,2011-05-19,52,5,100721,3185,20,18,44,是,海螺水泥2011年公开发行公司债券募集说明书_600585_20110519_3
大连港股份有限公司,,2011-05-19,52,7,91101,3740,24,31,56,是,大连港公开发行公司债券募集说明书_601880_20110519_3
南钢公司,南钢股份,2011-05-04,46,5,96748,3840,25,37,57,是,南钢股份公开发行2011年公司债券募集说明书_600282_20110504_3
川投能源 股票代码公司,川投能源,2011-03-17,57,3,165675,3527,23,30,48,是,川投能源公开发行可转换公司债券募集说明书_600674_20110317_3
川投能源 股票代码公司,川投能源,2011-03-17,57,3,165675,3527,23,30,48,是,川投能源公开发行可转换公司债券募集说明书_600674_20110317_3
中国石化 股票代码公司,,2011-02-18,63,0,140592,6598,41,46,100,是,中国石化可转换公司债券募集说明书_600028_20110218_2
中国石化 股票代码公司,,2011-02-18,63,0,140592,6598,41,46,100,是,中国石化可转换公司债券募集说明书_600028_20110218_2
华靖电力控股股份有限公司,国投电力,2011-02-11,84,2,221433,4982,29,41,71,是,国投电力公开发行可转换公司债券募集说明书_600886_20110211_2
华靖电力控股股份有限公司,国投电力,2011-02-11,84,2,221433,4982,29,41,71,是,国投电力公开发行可转换公司债券募集说明书_600886_20110211_2
国投电力可转换公司,,2011-01-21,84,2,219400,4982,29,41,71,是,国投电力公开发行可转换公司债券募集说明书_600886_20110121_3
国投电力可转换公司,,2011-01-21,84,2,219400,4982,29,41,71,是,国投电力公开发行可转换公司债券募集说明书_600886_20110121_3
西部矿业股份有限公司,,2011-01-13,71,8,93186,3713,24,29,56,是,西部矿业公开发行公司债券募集说明书_601168_20110113_3
宁波海运 股票代码公司,宁波海运,2011-01-05,79,16,158730,5672,38,44,79,是,宁波海运公开发行可转换公司债券募集说明书_600798_20110105_4
宁波海运 股票代码公司,宁波海运,2011-01-05,79,16,158730,5672,38,44,79,是,宁波海运公开发行可转换公司债券募集说明书_600798_20110105_4
龙源电力集团股份有限公司,,2010-12-08,45,5,101986,3762,22,25,61,是,龙源电力集团股份有限公司公开发行2010年公司债券募集说明书_122056_20101208_3
重庆钢铁 股票代码公司,重庆钢铁,2010-12-07,60,8,86556,7203,36,59,88,是,重庆钢铁公开发行公司债券募集说明书_601005_20101207_3
北京歌华有线电视网络股份有限公司,歌华有线,2010-11-23,46,0,120807,3197,19,25,36,是,歌华有线公开发行可转换公司债券募集说明书_600037_20101123_3
北京歌华有线电视网络股份有限公司,歌华有线,2010-11-23,46,0,120807,3197,19,25,36,是,歌华有线公开发行可转换公司债券募集说明书_600037_20101123_3
泰豪科技 股票代码公司,泰豪科技,2010-09-20,59,14,102308,4942,32,35,59,是,泰豪科技公开发行公司债券募集说明书_600590_20100920_2
公司,,2010-08-30,79,3,47966,0,0,0,0,否,2010年通辽市城市投资经营有限责任公司市政项目建设债券募集说明书_122891_20100830_2
中国工商银行股份有限公司,工商银行,2010-08-26,1136,13,248722,13490,79,98,168,是,工商银行公开发行A股可转换公司债券募集说明书_601398_20100826_3
上海杨浦城市建设投资（集团）有限公司,,2010-07-22,41,1,41553,3264,22,26,46,是,2010年上海杨浦城市建设投资（集团）有限公司公司债券募集说明书_122899_20100722_2
芜湖市建设投资有限公司,,2010-07-20,25,1,36244,2189,23,18,34,是,2010年芜湖市建设投资有限公司公司债券募集说明书_122906_20100720_2
芜湖市建设投资有限公司,,2010-07-20,25,1,36244,2189,23,18,34,是,2010年芜湖市建设投资有限公司公司债券募集说明书_122907_20100720_2
中国银行 A股股票代码公司,中国银行,2010-05-31,995,19,256096,15544,86,111,221,是,中国银行公开发行A股可转换公司债券募集说明书_601988_20100531_4
中国银行 A股股票代码公司,中国银行,2010-05-31,995,19,256096,15544,86,111,221,是,中国银行公开发行A股可转换公司债券募集说明书_601988_20100531_4
双良公司,双良股份,2010-04-29,68,0,163096,9969,55,83,157,是,双良股份可转换公司债券募集说明书_600481_20100429_3
营口港务股份有限公司,,2010-02-26,47,5,70836,4125,27,36,52,是,营口港务股份有限公司公开发行公司债券募集说明书_122049_20100226_2
营口港务股份有限公司,,2010-02-26,47,5,70820,4125,27,36,52,是,营口港务股份有限公司公开发行公司债券募集说明书(修正稿)_122049_20100226_2a
港务股份有限公司,,2010-02-26,47,5,70820,4125,27,36,52,是,营口港公开发行公司债券募集说明书(修正稿)_600317_20100226_2a
港务股份有限公司,,2010-02-26,47,5,70836,4125,27,36,52,是,营口港公开发行公司债券募集说明书_600317_20100226_2
中国中铁股份有限公司,,2010-01-25,48,3,92077,6288,38,48,102,是,中国中铁公开发行公司债券募集说明书_601390_20100125_3
北京王府井百货（集团）股份有限公司,王府井,2009-10-15,75,7,164366,5345,36,44,75,是,王府井公开发行可转换公司债券募集说明书_600859_20091015_3
公司,股票简称股票简称股票简称：：：博汇纸业博汇纸业博汇纸业博汇纸业,2009-09-21,91,3,217797,7281,0,38,65,是,博汇纸业公开发行可转换公司债券募集说明书_600966_20090921_3
浙江龙盛集团股份有限公司,浙江龙盛,2009-09-10,77,5,168939,4207,26,40,57,是,浙江龙盛发行可转换公司债券募集说明书_600352_20090910_4
大西洋 股票代码公司,大西洋,2009-09-01,56,1,118661,3039,18,22,32,是,大西洋可转换公司债券募集说明书_600558_20090901_3
厦门厦工机械股份有限公司,厦工股份,2009-08-26,84,5,160803,3809,23,32,47,是,厦工股份发行可转换公司债券募集说明书_600815_20090826_3
四川长虹电器股份有限公司,四川长虹,2009-07-28,104,8,228316,6253,42,57,82,是,四川长虹认股权和债券分离交易的可转换公司债券募集说明书_600839_20090728_4
江西铜业/股票代码公司,江西铜业/股票代码：600362（A,2008-09-18,120,6,147803,10731,67,78,120,是,江西铜业认股权和债券分离交易的可转换公司债券募集说明书_600362_20080918_3
新钢公司,新钢股份,2008-08-19,73,2,177427,7881,30,52,101,是,新钢股份可转换公司债券募集说明书_600782_20080819_4
公司,葛洲坝,2008-06-23,82,1,187162,5375,36,41,52,是,葛洲坝认股权和债券分离交易的可转换公司债券募集说明书_600068_20080623_3
宝钢公司,宝钢股份,2008-06-18,55,1,155109,7249,38,56,110,是,宝钢股份认股权和债券分离交易的可转换公司债券募集说明书_600019_20080618_3
康美药业 股票代码公司,康美药业,2008-05-06,101,6,154327,7079,42,51,106,是,康美药业认股权和债券分离交易的可转换公司债券募集说明书_600518_20080506_4
电力 股票代码公司,国电电力,2008-05-05,63,5,142149,6202,42,54,98,是,国电电力认股权和债券分离交易的可转换公司债券募集说明书_600795_20080505_3
南山铝业 股票代码公司,南山铝业,2008-04-16,67,6,106239,6627,31,53,92,是,南山铝业可转换公司债券募集说明书_600219_20080416_4
青岛啤酒公公司,青岛啤酒..................,2008-03-31,61,1,139331,5758,40,39,74,是,青岛啤酒认股权与债券分离交易的可转换公司债券募集说明书_600600_20080331_3
莱芜钢铁股份有限公司,,2008-03-21,44,6,88496,3272,14,28,41,是,莱钢股份公开发行公司债券募集说明书_600102_20080321_10
广西五洲交通股份有限公司,五洲交通,2008-02-26,64,3,110974,6198,31,44,79,是,五洲交通发行可转换公司债券募集说明书_600368_20080226_3
广西五洲交通股份有限公司,五洲交通,2008-02-26,64,3,110974,6198,31,44,79,是,五洲交通发行可转换公司债券募集说明书_600368_20080226_3
承德新新钒钛股份有限公司,承德钒钛,2008-02-25,34,5,69394,2481,20,21,36,是,承德钒钛公开发行公司债券募集说明书_600357_20080225_3
中国石化 股票代码公司,中国石化,2008-02-18,65,0,129926,4538,30,30,72,是,中国石化认股权和债券分离交易的可转换公司债券募集说明书_600028_20080218_3
上港集团公司,上港集团,2008-02-18,53,1,90558,5393,26,34,69,是,上港集团认股权和债券分离交易的可转换公司债券募集说明书_600018_20080218_3
中国石化 股票代码公司,中国石化,2008-02-18,65,0,129927,4538,30,30,72,是,中国石化认股权和债券分离交易的可转换公司债券募集说明书（更正公告）_600028_20080218_3a
中国石化 股票代码公司,中国石化,2008-02-18,65,0,129926,4538,30,30,72,是,中国石化认股权和债券分离交易的可转换公司债券募集说明书_600028_20080218_3
中国石化 股票代码公司,中国石化,2008-02-18,65,0,129927,4538,30,30,72,是,中国石化认股权和债券分离交易的可转换公司债券募集说明书（更正公告）_600028_20080218_3a
上港集团公司,上港集团,2008-02-18,53,1,90558,5393,26,34,69,是,上港集团认股权和债券分离交易的可转换公司债券募集说明书_600018_20080218_3
中国石化 股票代码公司,中国石化,2008-02-18,65,0,129927,4538,30,30,72,是,中国石化认股权和债券分离交易的可转换公司债券募集说明书（更正公告）_600028_20080218_3a
上港集团公司,上港集团,2008-02-18,53,1,90558,5393,26,34,69,是,上港集团认股权和债券分离交易的可转换公司债券募集说明书_600018_20080218_3
中国石化 股票代码公司,中国石化,2008-02-18,65,0,129926,4538,30,30,72,是,中国石化认股权和债券分离交易的可转换公司债券募集说明书_600028_20080218_3
中远公司,中远航运,2008-01-24,77,7,158663,3618,27,27,54,是,中远航运认股权和债券分离交易的可转换公司债券募集说明书_600428_20080124_4
中远公司,中远航运,2008-01-24,77,7,158663,3618,27,27,54,是,中远航运认股权和债券分离交易的可转换公司债券募集说明书_600428_20080124_4
中远公司,中远航运,2008-01-24,77,7,158663,3618,27,27,54,是,中远航运认股权和债券分离交易的可转换公司债券募集说明书_600428_20080124_4
 江西赣粤高速公路股份有限公司,赣粤高速,2008-01-23,61,5,118863,6467,41,54,71,是,赣粤高速认股权和债券分离交易的可转换公司债券募集说明书_600269_20080123_3
 江西赣粤高速公路股份有限公司,赣粤高速,2008-01-23,61,5,118863,6467,41,54,71,是,赣粤高速认股权和债券分离交易的可转换公司债券募集说明书_600269_20080123_3
 江西赣粤高速公路股份有限公司,赣粤高速,2008-01-23,61,5,118863,6467,41,54,71,是,赣粤高速认股权和债券分离交易的可转换公司债券募集说明书_600269_20080123_3
上海汽车 股票代码公司,上海汽车,2007-12-17,69,1,203613,7850,63,61,111,是,上海汽车认股权和债券分离交易的可转换公司债券募集说明书_600104_20071217_3
上海汽车 股票代码公司,上海汽车,2007-12-17,69,1,203613,7850,63,61,111,是,上海汽车认股权和债券分离交易的可转换公司债券募集说明书_600104_20071217_3
上海汽车 股票代码公司,上海汽车,2007-12-17,69,1,203613,7850,63,61,111,是,上海汽车认股权和债券分离交易的可转换公司债券募集说明书_600104_20071217_3
北大公司,北大荒,2007-12-14,68,4,161891,7883,47,52,87,是,北大荒发行可转换公司债券募集说明书_600598_20071214_4
北大公司,北大荒,2007-12-14,68,4,161891,7883,47,52,87,是,北大荒发行可转换公司债券募集说明书_600598_20071214_4
日照港 股票代码公司,日照港,2007-11-22,57,1,142411,6367,21,46,66,是,日照港认股权和债券分离交易的可转换公司债券募集说明书_600017_20071122_2
日照港 股票代码公司,日照港,2007-11-22,57,1,142411,6367,21,46,66,是,日照港认股权和债券分离交易的可转换公司债券募集说明书_600017_20071122_2
日照港 股票代码公司,日照港,2007-11-22,57,1,142411,6367,21,46,66,是,日照港认股权和债券分离交易的可转换公司债券募集说明书_600017_20071122_2
海洋石油工程股份有限公司,,2007-11-06,47,2,58664,3068,26,25,52,是,海油工程公开发行公司债券募集说明书_600583_20071106_4
贵州赤天化股份有限公司,,2007-10-08,30,3,91108,3448,21,24,47,是,赤天化公开发行可转换公司债券募集说明书_600227_20071008_3
贵州赤天化股份有限公司,,2007-10-08,30,3,91108,3448,21,24,47,是,赤天化公开发行可转换公司债券募集说明书_600227_20071008_3
HK公司,,2007-09-25,93,8,134390,5854,32,48,79,是,深高速公开发行认股权和债券分离交易的可转换公司债券募集说明书_600548_20070925_3
HK公司,,2007-09-25,93,8,134390,5854,32,48,79,是,深高速公开发行认股权和债券分离交易的可转换公司债券募集说明书_600548_20070925_3
HK公司,,2007-09-25,93,8,134390,5854,32,48,79,是,深高速公开发行认股权和债券分离交易的可转换公司债券募集说明书_600548_20070925_3
安徽恒源煤电股份有限公司,恒源煤电,2007-09-20,55,1,121107,3830,18,34,45,是,恒源煤电可转换公司债券募集说明书_600971_20070920_3
安徽恒源煤电股份有限公司,恒源煤电,2007-09-20,55,1,121107,3830,18,34,45,是,恒源煤电可转换公司债券募集说明书_600971_20070920_3
安徽山鹰纸业股份有限公司,,2007-08-31,51,3,136989,6875,31,59,84,是,山鹰纸业发行可转换公司债券募集说明书_600567_20070831_3
安徽山鹰纸业股份有限公司,,2007-08-31,51,3,136989,6875,31,59,84,是,山鹰纸业发行可转换公司债券募集说明书_600567_20070831_3
中海发展股份有限公司,,2007-06-27,77,3,136296,9489,61,72,163,是,中海发展发行可转换公司债券募集说明书_600026_20070627_3
公司,澄星股份,2007-04-27,17,0,33231,0,0,0,0,否,澄星股份发行可转换公司债券募集说明书附录_600078_20070427_2
 江苏澄星磷化工股份有限公司,澄星股份,2007-04-27,60,2,113241,7114,46,52,88,是,澄星股份发行可转换公司债券募集说明书_600078_20070427_1
公司,澄星股份,2007-04-27,17,0,33231,0,0,0,0,否,澄星股份发行可转换公司债券募集说明书附录_600078_20070427_2
武钢公司,武钢股份,2007-03-21,63,4,101075,5278,41,36,96,是,武钢股份认股权和债券分离交易的可转换公司债券募集说明书_600005_20070321_3
武钢公司,武钢股份,2007-03-21,63,4,101075,5278,41,36,96,是,武钢股份认股权和债券分离交易的可转换公司债券募集说明书_600005_20070321_3
云南云天化股份有限公司,,2007-01-23,63,7,173726,10031,55,77,110,是,云天化发行分离交易的可转换公司债券募集说明书_600096_20070123_4
云南云天化股份有限公司,,2007-01-23,63,7,173726,10031,55,77,110,是,云天化发行分离交易的可转换公司债券募集说明书_600096_20070123_4
云南云天化股份有限公司,,2007-01-23,63,7,173726,10031,55,77,110,是,云天化发行分离交易的可转换公司债券募集说明书_600096_20070123_4
中化国际 股票代码：600500 中化国际（控股）股份有限公司,中化国际,2006-11-28,210,15,215995,20350,111,140,269,是,中化国际认股权和债券分离交易的可转换公司债券募集说明书_600500_20061128_5
中化国际 股票代码：600500 中化国际（控股）股份有限公司,中化国际,2006-11-28,210,15,215995,20350,111,140,269,是,中化国际认股权和债券分离交易的可转换公司债券募集说明书_600500_20061128_5
中化国际 股票代码：600500 中化国际（控股）股份有限公司,中化国际,2006-11-28,210,15,215995,20350,111,140,269,是,中化国际认股权和债券分离交易的可转换公司债券募集说明书_600500_20061128_5
上海电力股份有限公司,上海电力,2006-11-21,78,4,114519,10062,55,68,153,是,上海电力发行可转换公司债券募集说明书_600021_20061121_2
浙江金鹰股份有限公司,金鹰股份,2006-11-13,95,4,145451,11645,66,84,149,是,金鹰股份发行可转换公司债券募集说明书_600232_20061113_3
浙江金鹰股份有限公司,金鹰股份,2006-11-13,95,4,145451,11645,66,84,149,是,金鹰股份发行可转换公司债券募集说明书_600232_20061113_3
马钢股份公司,马钢股份（A股）、马鞍山钢铁（H股）,2006-11-07,39,1,131892,3833,18,33,55,是,马钢股份认股权和债券分离交易的可转换公司债券募集说明书_600808_20061107_2
马钢股份公司,马钢股份（A股）、马鞍山钢铁（H股）,2006-11-07,39,1,131892,3833,18,33,55,是,马钢股份认股权和债券分离交易的可转换公司债券募集说明书_600808_20061107_2
马钢股份公司,马钢股份（A股）、马鞍山钢铁（H股）,2006-11-07,39,1,131892,3833,18,33,55,是,马钢股份认股权和债券分离交易的可转换公司债券募集说明书_600808_20061107_2
天津天药药业股份有限公司,,2006-10-20,65,2,134502,7376,42,59,105,是,天药股份可转换公司债券募集说明书_600488_20061020_4
天津天药药业股份有限公司,,2006-10-20,65,2,134502,7376,42,59,105,是,天药股份可转换公司债券募集说明书_600488_20061020_4
凯诺科技股份有限公司,,2006-08-09,103,5,138595,4316,28,29,63,是,G凯诺发行可转换公司债券募集说明书_600398_20060809_1
凯诺科技股份有限公司,,2006-08-09,103,5,138595,4316,28,29,63,是,G凯诺发行可转换公司债券募集说明书_600398_20060809_1
公司,G,2006-07-26,42,4,89424,4528,21,30,58,是,G柳化可转换公司债券募集说明书_600423_20060726_1
公司,G,2006-07-26,42,4,89424,4528,21,30,58,是,G柳化可转换公司债券募集说明书_600423_20060726_1
珠海华发实业股份有限公司,,2006-07-25,129,7,127156,16664,90,118,163,是,G华发发行可转换公司债券募集说明书_600325_20060725_1
珠海华发实业股份有限公司,,2006-07-25,129,7,127156,16664,90,118,163,是,G华发发行可转换公司债券募集说明书_600325_20060725_1
内蒙古包钢钢联股份有限公司,,2004-11-05,100,7,174124,12739,62,76,114,是,钢联股份可转换公司债券募集说明书_600010_20041105_1
招商银行股份有限公司,,2004-10-29,688,22,219984,28302,157,169,454,是,招商银行发行可转换公司债券募集说明书_600036_20041029_1
山东南山实业股份有限公司,,2004-10-14,146,10,154805,15533,92,109,212,是,南山实业发行可转换公司债券募集说明书_600219_20041014_1
天津创业环保股份有限公司,,2004-06-26,91,7,171566,12888,57,91,152,是,创业环保可转换公司债券募集说明书_600874_20040626_1
营口港务股份有限公司,,2004-05-15,130,9,197005,13644,82,101,157,是,营口港发行可转换公司债券募集说明书_600317_20040515_1
北京歌华有线电视网络股份有限公司,,2004-04-30,93,1,191982,8414,54,62,94,是,歌华有线发行可转换公司债券募集说明书_600037_20040430_2
安徽江淮汽车股份有限公司,,2004-04-10,71,3,172645,9342,58,70,110,是,江淮汽车发行可转换公司债券募集说明书_600418_20040410_1
邯郸钢铁股份有限公司,,2003-11-21,100,2,160435,0,0,0,0,否,邯郸钢铁可转换公司债券募集说明书_600001_20031121_1
上海复星实业股份有限公司,,2003-10-23,134,7,167867,15932,132,176,203,是,复星实业可转换公司债券募集说明书_600196_20031023_1
黑龙江电力股份有限公司,,2003-05-29,90,2,108567,0,0,0,0,否,龙电股份可转换公司债券募集说明书_600726_20030529_2
钧达股份 海南钧达汽车饰件股份有限公司,,,132,8,196926,9714,55,66,112,是,钧达股份：公开发行可转换公司债券募集说明书_cd61aa96-8b7f-4044-8043-5919bd5988a1
光华科技 股票代码公司,光华科技,,140,8,190938,7745,43,60,96,是,光华科技：公开发行可转换公司债券募集说明书_e2a9d46d-4fc1-4aa4-b0b2-1a81cc6ea4ef
苏州华源控股股份有限公司,,,101,3,196414,4218,24,37,59,是,华源控股：公开发行可转换公司债券募集说明书_2ba41cab-f916-442b-b30b-ba24ade1c4dc
张家港行 股票代码公司,张家港行,,970,29,274671,15412,81,97,180,是,张家港行：公开发行A股可转换公司债券募集说明书_0efd1973-a43c-4627-858e-5fb96d9de1b9
中航光电 股票代码公司,中航光电,,106,12,249921,8220,46,63,95,是,中航光电：公开发行可转换公司债券募集说明书_ede364e6-f1d7-4b97-b117-0d40529a6efb
利尔化学股份有限公司,利尔化学,,109,8,201854,5837,28,45,70,是,利尔化学：公开发行可转换公司债券募集说明书_318c9c61-2387-4866-8470-18fb2468aa43
中航机电 股票代码公司,中航机电,,142,18,348666,3983,22,33,46,是,中航机电：公开发行可转换公司债券募集说明书（更新后）_3c468fb2-88d5-4255-87ee-b8aa41563ea5
中航机电 股票代码公司,中航机电,,142,18,348664,3983,22,33,46,是,中航机电：公开发行可转换公司债券募集说明书（已取消）_8f5b609a-36c0-4074-a68f-cfb6cfadedc1
公司,,,48,1,72182,2497,21,21,33,是,铁道1823：2018年中国铁路建设债券募集说明书（2018年7月更新版）_2566b76c-75d1-4063-8abf-a6b8230cb4c1
公司,,,48,1,72182,2497,21,21,33,是,铁道1824：2018年中国铁路建设债券募集说明书（2018年7月更新版）_18a2cca9-3443-461c-acf1-823f9c252db8
岭南股份 股票代码公司,岭南股份,,182,12,325263,7842,36,56,96,是,岭南股份：公开发行可转换公司债券募集说明书_43d4fe64-c445-43f0-a486-b506fdabc91e
东音公司,东音股份,,121,8,164175,5652,33,39,78,是,东音股份：公开发行A股可转换公司债券募集说明书_e10cd869-afdc-46fa-b3fa-90ff7ab3c4d4
凯中精密 证券公司,,,99,12,208907,5250,31,44,68,是,凯中精密：公开发行可转换公司债券募集说明书_00ca0f64-0266-4d98-8d43-71494fbbb24f
公司,,,48,1,72182,2497,21,21,33,是,铁道1821：2018年中国铁路建设债券募集说明书（2018年7月更新版）_15140d23-6a11-451c-8d0b-dc9bb05a37ea
宁波横河模具股份有限公司,横河模具,,80,2,178032,3515,25,22,46,是,横河模具：公开发行A股可转换公司债券募集说明书_05879baf-99eb-4d5a-8288-9ca055f94394
公司,,,48,1,72182,2497,21,21,33,是,铁道1822：2018年中国铁路建设债券募集说明书（2018年7月更新版）_fff81b5b-11a6-4b04-9da1-f9417a542728
德尔股份 证券公司,,,126,12,194521,4926,33,40,65,是,德尔股份：公开发行可转换公司债券募集说明书_8d6c078a-7327-473f-a28c-8ecdbf1ddd48
