公司全称,公司简称,公告日期,风险词汇频数,前后存在无等的风险频数,整个债券书字数,风险部分字数统计,风险自然段落统计,风险限定字数句子统计,风险所有句子统计,是否检测到风险章节,文档名称
酉阳县桃花源旅游投资（集团）有限公司,,2018-10-11,51,6,102917,3252,21,19,39,是,2018年酉阳县桃花源旅游投资（集团）有限公司公司债券募集说明书_3364945134788462
蓬莱国有资产投资集团有限公司,,2018-10-11,87,9,116647,5211,32,34,73,是,2018年第一期舟山群岛新区蓬莱国有资产投资集团有限公司公司债券募集说明书_3364922724360612
湖南天易融通创业投资有限公司,,2018-09-28,43,8,88302,3602,21,26,45,是,2018年第一期湖南天易融通创业投资有限公司公司债券募集说明书_3354386287566062
海门南黄海建设发展有限公司,,2018-09-26,56,2,76656,3144,22,25,44,是,2018年海门南黄海建设发展有限公司公司债券募集说明书_3352805727291579
桃源县经济开发区开发投资有限公司,,2018-09-25,39,4,83357,4696,31,42,58,是,2018年第一期桃源县经济开发区开发投资有限公司公司债券募集说明书_3348528372101863
当涂县城乡建设投资有限责任公司,,2018-09-25,73,4,96469,3667,24,30,47,是,2018年当涂县城乡建设投资有限责任公司公司债券募集说明书_3348522338514687
江苏天目湖（集团）有限公司,,2018-09-21,68,6,106077,4993,27,36,62,是,江苏天目湖（集团）有限公司2018年公开发行公司债券募集说明书_3348535177487971
安宁发展投资集团有限公司,,2018-09-21,49,5,89921,2807,23,19,40,是,2018年第一期安宁发展投资集团有限公司城市地下综合管廊建设专项债券募集说明书_3348510052805853
海宁市尖山新区开发有限公司,,2018-09-19,75,3,101823,5827,38,48,84,是,2018年第一期海宁市尖山新区开发有限公司公司债券募集说明书_3346781940497538
大众公司,,2018-09-17,0,0,0,0,0,0,0,否,大众公用关于上海大众公用事业（集团）股份有限公司《2018年公开发行公司债券募集说明书》的补充说明_600635_20180917_1
上海大众公用事业（集团）股份有限公司,,2018-09-17,0,0,0,0,0,0,0,否,关于上海大众公用事业（集团）股份有限公司《2018年公开发行公司债券募集说明书》的补充说明_3342533560471926
上海大众公用事业（集团）股份有限公司,,2018-09-17,0,0,0,0,0,0,0,否,关于上海大众公用事业（集团）股份有限公司《2018年公开发行公司债券募集说明书》的补充说明_3342533914452287
上海大众公用事业（集团）股份有限公司,,2018-09-17,0,0,0,0,0,0,0,否,关于上海大众公用事业（集团）股份有限公司《2018年公开发行公司债券募集说明书》的补充说明_3342533723522102
上饶县城市建设投资开发有限公司,,2018-09-13,73,9,97878,3932,24,30,40,是,2018年上饶县城市建设投资开发有限公司公司债券募集说明书_3341569238667412
