公司全称,公司简称,公告日期,风险词汇频数,前后存在无等的风险频数,整个债券书字数,风险部分字数统计,风险自然段落统计,文档名称
 A 股可转换公司,顾家家居,2018-09-10,166,12,508204,5933,76,顾家家居公开发行可转换公司债券募集说明书_603816_20180910_10
广西百色百东投资有限公司,,2018-09-06,54,3,77051,1976,22,2018年第一期广西百色百东投资有限公司公司债券募集说明书_3334747455350718
投资开发有限公司,,2018-09-05,144,10,154464,5908,60,3、2018年第二期永修县城市建设投资开发有限公司公司债券募集说明书_3334648755701145
沂源宏鼎资产经营有限公司,,2018-09-05,144,18,218738,5852,58,2018年沂源宏鼎资产经营有限公司公司债券募集说明书_3334693259954641
广东省广业集团有限公司,,2018-09-05,218,12,310338,10438,108,2018年第二期广东省广业集团有限公司绿色公司债券募集说明书_3334568909815015
杭州良渚文化城集团有限公司,,2018-09-05,128,14,284100,5296,68,2018年杭州良渚文化城集团有限公司城市停车场建设专项债券募集说明书_3333824644364639
厦门轨道交通集团有限公司,,2018-09-04,174,8,191594,5988,86,2018年第一期厦门轨道交通集团有限公司公司债券募集说明书_3331294177331649
泗县城市建设投资有限公司,,2018-09-03,82,6,180968,3674,42,2018年泗县城市建设投资有限公司公司债券募集说明书_3331121087402189
江苏洋口港建设发展集团有限公司,,2018-08-30,52,7,123895,2196,26,2018年第二期江苏洋口港建设发展集团有限公司公司债券募集说明书_3325197809043470
武汉地铁集团有限公司,,2018-08-30,84,8,124616,4697,41,2018年第二期武汉地铁集团有限公司绿色债券募集说明书_3329483154971655
北京汽车集团有限公司,,2018-08-28,234,10,355184,10576,122,北京汽车集团有限公司2018年公开发行公司债券募集说明书_3327833269351328
眉山市东坡发展投资有限公司,,2018-08-27,130,36,200210,5956,62,2018年第一期眉山市东坡发展投资有限公司公司债券募集说明书_3325172918919839
浙江武义城市建设投资集团有限公司,,2018-08-24,132,14,167090,5826,68,2018年第一期浙江武义城市建设投资集团有限公司城市停车场建设专项债券募集说明书_3324289505444216
树业环保科技股份有限公司,,2018-08-24,89,2,106327,2947,36,2018年树业环保科技股份有限公司绿色债券募集说明书_3323452023708052
北京市基础设施投资有限公司,,2018-08-24,102,14,187214,4645,56,2018年第一期北京市基础设施投资有限公司公司债券募集说明书_3323451250426950
北京市基础设施投资有限公司,,2018-08-24,102,14,187214,4645,56,2018年第一期北京市基础设施投资有限公司公司债券募集说明书_3323451758387189
公司,,2018-08-21,96,2,144364,3448,38,2018年中国铁路建设债券募集说明书（2018年7月更新版）_3322498507814568
投资开发有限公司,,2018-08-21,148,10,149958,5728,58,2018年第一期永修县城市建设投资开发有限公司公司债券募集说明书_3317262406495758
淮安市金湖交通投资有限公司,,2018-08-17,63,4,65328,2104,26,2018年淮安市金湖交通投资有限公司公司债券募集说明书_3318252503905607
珠海华发综合发展有限公司,,2018-08-14,270,20,404416,13948,128,珠海华发综合发展有限公司公开发行2018年公司债券募集说明书_3316542376506646
珠海华发综合发展有限公司,,2018-08-14,270,20,404416,13948,128,珠海华发综合发展有限公司公开发行2018年公司债券募集说明书_3316537812193599
宜宾市南溪区财源国有资产经营有限责任公司,,2018-08-14,140,16,275450,6545,61,2018年第一期宜宾市南溪区财源国有资产经营有限责任公司公司债券募集说明书_3313147766085570
义乌市城市投资建设集团有限公司,,2018-08-13,142,10,208834,6834,68,2017年义乌市城市投资建设集团有限公司城市停车场和地下综合管廊专项债券募集说明书_3312287776341259
南京溧水城市建设集团有限公司,,2018-08-13,98,10,108478,3880,44,2018年南京溧水城市建设集团有限公司城市停车场建设专项债券募集说明书_3313064065722723
公司,,2018-08-10,80,10,164954,3052,40,2018年第一期桐城市建设投资发展有限责任公司城市停车场建设专项债券募集说明书_3310497751484285
「州珠江实血集困有限公司,,2018-08-08,68,5,130872,2946,34,2018年广州珠江实业集团有限公司社会领域产业政府和社会资本合作（PPP）项目专项债券募集说明书_3310478693671453
宿迁高新开发投资有限公司,,2018-08-08,100,6,160024,3789,38,2018年第一期宿迁高新开发投资有限公司公司债券募集说明书_3310397803727308
山东招金集团有限公司,,2018-08-06,396,34,312614,21004,174,山东招金集团有限公司2018年公开发行可续期公司债券（第一期）债券募集说明书（面向合格投资者）_3307032125741141
山东招金集团有限公司,,2018-08-06,396,34,312614,21004,174,山东招金集团有限公司2018年公开发行可续期公司债券（第一期）债券募集说明书（面向合格投资者）_3307031255410169
中科曙光 股票代码公司,中科曙光,2018-08-02,222,18,528730,9322,100,中科曙光公开发行A股可转换公司债券募集说明书_603019_20180802_6
 江苏吴江农村商业银行股份有限公司,吴江银行,2018-07-31,1078,58,423294,35524,381,吴江银行公开发行A股可转换公司债券募集说明书_603323_20180731_5
平度市国有资产经营管理有限公司,,2018-07-27,70,5,114549,2494,30,2018年平度市国有资产经营管理有限公司公司债券募集说明书_3299296860083997
格力地产股份有限公司,,2018-07-24,324,26,351456,13772,169,格力地产2018年公开发行公司债券募集说明书_600185_20180724_1
高能环境 证券公司,,2018-07-24,190,10,408042,8868,88,高能环境公开发行可转换公司债券募集说明书_603588_20180724_6
公司,,2018-07-24,96,2,144364,3448,38,2018年中国铁路建设债券募集说明书（2018年7月更新版）_3298408575332164
格力地产股份有限公司,,2018-07-24,324,26,351456,13772,169,格力地产股份有限公司2018年公开发行公司债券募集说明书_3297461003673161
格力地产股份有限公司,,2018-07-24,324,26,351456,13772,169,格力地产股份有限公司2018年公开发行公司债券募集说明书_3297465707915934
国开证券股份有限公司,,2018-07-19,506,22,261388,17289,170,国开证券股份有限公司公开发行2018年公司债券募集说明书（面向合格投资）_3293310519112359
际华集团股份有限公司,,2018-07-18,184,12,301024,7912,80,际华集团公开发行2018年公司债券募集说明书（面向合格投资者）（第一期）_601718_20180718_2
威帝公司,威帝股份,2018-07-18,200,18,351412,10170,106,威帝股份公开发行可转换公司债券募集说明书_603023_20180718_5
定远县城市建设投资有限公司,,2018-07-12,124,6,162340,3734,46,2018年第一期定远县城市建设投资有限公司公司债券募集说明书_3287164461394124
公司,海澜之家,2018-07-11,282,16,443884,10770,114,海澜之家公开发行可转换公司债券募集说明书_600398_20180711_4
湖北省交通投资集团有限公司,,2018-07-11,84,6,213230,6240,44,2018年湖北省交通投资集团有限公司公司债券募集说明书_3286306089656045
安井食品 股票代码公司,安井食品,2018-07-10,304,30,449018,12010,140,安井食品：公开发行可转换公司债券募集说明书_603345_20180710_6
景旺电子 股票代码公司,景旺电子,2018-07-04,220,16,405786,9417,105,景旺电子：公开发行可转换公司债券募集说明书_603228_20180704_2
公司,,2018-07-03,96,2,144364,3448,38,2018年中国铁路建设债券募集说明书（2018年7月更新版）_3280249343143997
陕西广电网络传媒（集团）股份有限公司,广电网络,2018-06-25,188,14,410592,7068,88,广电网络公开发行可转换公司债券募集说明书_600831_20180625_6
603027 千禾味业食品股份有限公司,千禾味业,2018-06-15,152,30,293916,7320,72,千禾味业公开发行A股可转换公司债券募集说明书_603027_20180615_10
重庆再升科技股份有限公司,再升科技,2018-06-14,288,12,496430,12034,113,再升科技公开发行可转换公司债券募集说明书_603601_20180614_4
宁波经济技术开发区控股有限公司,,2018-06-06,180,24,285594,10034,90,宁波经济技术开发区控股有限公司公开发行2018年公司债券募集说明书（面向合格投资者）_3255887816175396
公司,,2018-06-05,96,2,143946,3448,38,2018年中国铁路建设债券募集说明书（2018年5月更新版）_3256061702817820
安徽省高速地产集团有限公司,,2018-06-05,234,16,335476,10698,124,安徽省高速地产集团有限公司2018年公开发行公司债券募集说明书_3255105107538807
江苏新泉汽车饰件股份有限公司,新泉股份,2018-05-31,258,16,324830,14733,124,新泉股份：公开发行A股可转换公司债券募集说明书_603179_20180531_4
嘉兴市秀湖发展投资有限公司,,2018-05-24,0,0,1138370,0,0,2018年嘉兴市秀湖发展投资有限公司公司债券募集说明书_3244649965823600
彭山发展控股有限责任公司,,2018-05-17,108,10,164168,3553,40,2018年第一期彭山发展控股有限责任公司养老产业专项债券募集说明书_3238058292314436
江海证券有限公司,,2018-05-10,430,16,240444,12278,133,江海证券有限公司2018年公开发行公司债券募集说明书_3232602234298811
哈尔滨市城市建设投资集团有限公司,,2018-05-09,94,14,253400,4530,45,2018年哈尔滨市城市建设投资集团有限公司公司债券募集说明书_3231132434320199
唐山金融控股集团股份有限公司,,2018-05-08,90,12,178770,4477,44,2018年唐山金融控股集团股份有限公司公司债券募集说明书（以此为准）_3231922388898963
泗阳县佳鼎实业有限公司,,2018-05-07,92,14,193364,3858,45,2018年第一期泗阳县佳鼎实业有限公司公司债券募集说明书_3231022187035295
重庆市万盛经济技术开发区开发投资集团有限公司,,2018-05-07,98,6,215456,3161,40,2018年第二期重庆市万盛经济技术开发区开发投资集团有限公司公司债券募集说明书_3231039428606857
唐山金融控股集团股份有限公司,,2018-05-07,90,12,178770,4477,44,2018年唐山金融控股集团股份有限公司公司债券募集说明书_3228518391616571
来安县城市基础设施开发有限公司,,2018-05-04,78,8,120240,2806,38,2018年来安县城市基础设施开发有限公司公司债券募集说明书_3227428933010833
都县振兴投资开发有限公司,,2018-04-27,120,2,167494,3753,46,2018年于都县振兴投资开发有限公司公司债券募集说明书_3221608696558121
广东省广业集团有限公司,,2018-04-27,107,7,153413,4864,52,2018年第一期广东省广业集团有限公司绿色公司债券募集说明书_3221353373017820
巢湖市城镇建设投资有限公司,,2018-04-26,64,4,96150,1994,22,2018年巢湖市城镇建设投资有限公司公司债券募集说明书_3218893943160122
武汉地铁集团有限公司,,2018-04-26,116,12,179692,5446,56,2018年第一期武汉地铁集团有限公司绿色债券募集说明书_3220523869357460
芜湖新马投资有限公司,,2018-04-26,84,2,129962,3352,33,2018年芜湖新马投资有限公司公司债券募集说明书_3220631555963278
公司,,2018-04-25,103,3,76301,3460,34,2018年第一期马鞍山经济技术开发区建设投资有限公司小微企业增信集合债券募集说明书_3219598789487121
威海市文登区城市资产经营有限公司,,2018-04-25,124,6,181762,4796,59,2018年第一期威海市文登区城市资产经营有限公司城市停车场建设专项债券募集说明书_3219926819014381
庐江县城市建设投资有限公司,,2018-04-25,66,3,89739,2222,27,2018年庐江县城市建设投资有限公司公司债券募集说明书_3218703212451373
绵阳安州投资控股集团有限公司,,2018-04-25,59,7,129571,2431,24,2018年第一期绵阳安州投资控股集团有限公司城市停车场建设专项债券募集说明书_3219815649332448
新凤凤鸣鸣集集团团股股份份有有限限公公司,新凤鸣,2018-04-24,248,6,374302,9236,102,新凤鸣公开发行可转换公司债券募集说明书_603225_20180424_7
芜湖宜居投资（集团）有限公司,,2018-04-24,77,2,126244,3320,36,2018年第一期芜湖宜居投资（集团）有限公司养老产业专项债券募集说明书_3219075320383606
安吉县城市建设投资集团有限公司,,2018-04-24,136,18,227618,5210,70,2018年第一期安吉县城市建设投资集团有限公司海绵城市绿色债券募集说明书_3218712041734495
