id,doctitle,doccontent,docpuburl,docpubtime,doctype
7dd99913-b7ae-4982-8a5b-b583cd84cfbc,科伦药业：2018年面向合格投资者公开发行公司债券（第一期）募集说明书,四川科伦药业股份有限公司 2018 年面向合格投资者公开发行公司债券（第一期） 募集说明书 发行人声明 本募集说明书及其摘要依据《中华人民共和国公司法》、《中华人民共和国证 券法》、《公司债券发行与交,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-03-21/d9111369-3c29-4e7f-a325-16dd39b1639f.PDF,2018-03-21,PDF
014c2a18-e688-4b0d-ade0-da4eb65a31f0,18国际P2：深圳国际控股有限公司2018年面向合格投资者公开发行公司债券（第二期）募集说明书,  深圳国际控股有限公司 住所：Clarendon House 2 Church Street Hamilton HM 11 Bermuda 2018年面向合格投资者公开发行 公司债券（第二期）募集说,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-11-08/1cbf8908-17d6-4f2b-a961-ad789c0ffb60.PDF,2018-11-08,PDF
f44e3064-2719-4388-ba9c-455ed9847529,星期六：2018年面向合格投资者公开发行公司债券（第一期）募集说明书,星期六股份有限公司 2018 年面向合格投资者公开发行公司债券（第一期）募集说明书 1 声 明 本募集说明书及其摘要依据《中华人民共和国公司法》、《中华人民共和国证 券法》、《公司债券发行与交易管理办,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-03-21/34172ab6-68c6-43f0-8d3c-1f386a159b35.PDF,2018-03-21,PDF
08d75241-f431-4ed2-ae55-4ee4b57313cc,18恒集01：浙江恒逸集团有限公司2018年面向合格投资者公开发行公司债券（第一期）募集说明书,浙江恒逸集团有限公司公司债券募集说明书 1 声 明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行与交易管理办法》、《公开发行证券的公司信息披露内容与格式 准则第,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-09-03/ed6a1120-dd4a-4e17-927a-9a7d6bffd2ff.PDF,2018-09-03,PDF
f2abbe77-b502-451b-ace0-18db44819e60,美年健康：2018年面向合格投资者公开发行公司债券（第一期）募集说明书,美年大健康产业控股股份有限公司 2018年面向合格投资者公开发行公司债券（第一期）募集说明书 1 声 明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行与交易管理,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-03-14/1209a836-d8ce-47b3-abed-1a491addc951.PDF,2018-03-14,PDF
783d9f4d-90fe-4fa4-ac61-86a3a13aa126,盾安环境：2018年面向合格投资者公开发行公司债券（第一期）募集说明书,浙江盾安人工环境股份有限公司 （住所：浙江省诸暨市店口工业区） 2018年面向合格投资者 公开发行公司债券（第一期） 募集说明书 主承销商、簿记管理人、债券受托管理人 招商证券股份有限公司 （住所：广,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-03-16/d2438b5b-fa59-4ba3-a3e8-5936f6132ce7.PDF,2018-03-16,PDF
173f2c47-1d91-4905-a4d6-c84c79af4efa,恒逸石化：2018年面向合格投资者公开发行公司债券（第一期）募集说明书,恒逸石化股份有限公司公开发行公司债券募集说明书 1 声 明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行与交易管理办法》、《公开发行证券的公司信息披露内容与格式,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-03-16/7f7abc69-e4a2-4ce4-a70c-91ae6f3962ba.PDF,2018-03-16,PDF
0a3c973b-ce64-4568-aa9c-8468742a6f7b,朗姿股份：2018年公开发行公司债券（第一期）募集说明书（面向合格投资者）,朗姿股份有限公司 2018年面向合格投资者公开发行公司债券（第一期）募集说明书 1 声 明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、《公司债券 发行与交易管理办法》、《公开,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-03-13/c79f0957-ba4c-4b09-9043-c025535866b4.PDF,2018-03-13,PDF
488feb83-468b-4559-ab55-a114f9902239,18通裕02：通裕重工股份有限公司2018年面向合格投资者公开发行公司债券（第二期）募集说明书,通裕重工股份有限公司 2018 年面向合格投资者公开发行公司债券（第二期）募集说明书 1 股票简称：通裕重工 股票代码：300185 通裕重工股份有限公司 2018 年面向合格投资者公开发行公司债券 ,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-10-26/699f5e0a-11aa-4bc3-8b3b-046a42879614.PDF,2018-10-29,PDF
efda70c4-b33e-4885-addf-545bc913f67f,华侨城Ａ：2018年面向合格投资者公开发行公司债券（第三期）募集说明书,股票简称：华侨城 A 股票代码：000069 深圳华侨城股份有限公司 （住所：深圳市南山区华侨城指挥部大楼 103、105、107、111、112 室） 2018 年面向合格投资者公开发行公司债券 （,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-03-08/5caf6779-9065-4440-ba4e-607102e7bb76.PDF,2018-03-08,PDF
4528ce76-886a-4da3-960e-0f12b860c037,18万科02：万科企业股份有限公司2018年面向合格投资者公开发行住房租赁专项公司债券（第二期）募集说明书调整公告,万科企业股份有限公司 2018年面向合格投资者公开发行 住房租赁专项公司债券（第二期）募集说明书调整公告 本公司及董事会全体成员保证公告内容真实、准确和完整，没有虚假记载、误导性 陈述或者重大遗漏。 ,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-10-25/d9be062e-0def-457f-b210-c80634f01c03.PDF,2018-10-25,PDF
4c84913b-eb63-43ce-bba2-4fe09b78c633,万  科Ａ：2018年面向合格投资者公开发行住房租赁专项公司债券（第二期）募集说明书调整公告,万科企业股份有限公司 2018年面向合格投资者公开发行 住房租赁专项公司债券（第二期）募集说明书调整公告 本公司及董事会全体成员保证公告内容真实、准确和完整，没有虚假记载、误导性 陈述或者重大遗漏。 ,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-10-25/878a0c6c-8dee-4ed5-be90-dc2c1dcc220c.PDF,2018-10-25,PDF
71d47232-8b05-4db7-a094-a3a61e871bb0,万  科Ａ：2018年面向合格投资者公开发行住房租赁专项公司债券（第二期）募集说明书（调整后）,万科企业股份有限公司 深圳市盐田区大梅沙环梅路 33 号万科中心 2018 年面向合格投资者公开发行 住房租赁专项公司债券（第二期） 募集说明书 主承销商 广东省深圳市福田区中心三路 8 号卓越时代广,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-10-25/cac42130-b921-4340-852d-3b7360ae2444.PDF,2018-10-25,PDF
70c7b7d8-6e35-4e54-ab4a-389d27f55e47,18万科02：万科企业股份有限公司2018年面向合格投资者公开发行住房租赁专项公司债券（第二期）募集说明书（调整后）,万科企业股份有限公司 深圳市盐田区大梅沙环梅路 33 号万科中心 2018 年面向合格投资者公开发行 住房租赁专项公司债券（第二期） 募集说明书 主承销商 广东省深圳市福田区中心三路 8 号卓越时代广,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-10-25/269855ee-e7a1-4f30-9c26-8bfd3da438fd.PDF,2018-10-25,PDF
209be907-0ab1-4e30-acb9-042a0739859e,万  科Ａ：2018年面向合格投资者公开发行住房租赁专项公司债券（第二期）募集说明书,万科企业股份有限公司 深圳市盐田区大梅沙环梅路 33 号万科中心 2018 年面向合格投资者公开发行 住房租赁专项公司债券（第二期） 募集说明书 主承销商 广东省深圳市福田区中心三路 8 号卓越时代广,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-10-23/c6ee8d05-1d55-4995-a188-dea04a31babf.PDF,2018-10-23,PDF
2d2c875f-4635-430f-a769-5262aafa15a1,18万科02：2018年面向合格投资者公开发行住房租赁专项公司债券（第二期）募集说明书,万科企业股份有限公司 深圳市盐田区大梅沙环梅路 33 号万科中心 2018 年面向合格投资者公开发行 住房租赁专项公司债券（第二期） 募集说明书 主承销商 广东省深圳市福田区中心三路 8 号卓越时代广,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-10-23/b834fd35-b78b-401c-8a19-4ed6161c11e2.PDF,2018-10-23,PDF
ed0112b6-8941-4add-b92f-e8c1524dfaaa,18广发02：广发证券股份有限公司2018年面向合格投资者公开发行公司债券（第二期）募集说明书,广发证券股份有限公司 （住所：广东省广州市黄埔区中新广州知识城腾飞一街 2 号 618 室） 2018 年面向合格投资者公开发行公司债券 （第二期）募集说明书 主承销商/簿记管理人/债券受托管理人 （,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-08-17/f5b4bdfb-cb32-4f72-bd79-4682d71ce442.PDF,2018-08-20,PDF
e307a3f3-cb69-4e40-8351-d0d30867097d,奥飞娱乐：2018年公开发行公司债券（第一期）募集说明书（面向合格投资者）,奥飞娱乐股份有限公司 （住所：广东省汕头市澄海区文冠路中段奥迪工业园） 2018年公开发行公司债券（第一期） 募集说明书 （面向合格投资者） 主承销商、簿记管理人、债券受托管理人 （住所：广东省广州市,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-02-08/9b8aa8e6-e9e9-40a1-8533-9511a51e7bb1.PDF,2018-02-08,PDF
a4ae86ab-68d7-4dba-befe-b395f49a396e,18渤金03：渤海金控投资股份有限公司2018年面向合格投资者公开发行公司债券（第三期）募集说明书,渤海金控投资股份有限公司 公开发行公司债券募集说明书 股票简称：渤海金控 股票代码： 000415 渤海金控投资股份有限公司 （新疆乌鲁木齐市沙依巴克区黄河路 93 号） 2018 年公开发行公司债券,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-09-28/1d0abf28-ef59-408c-a034-49986a93d81c.PDF,2018-09-28,PDF
02266b7d-62ad-4b41-95e1-69bf88a6d15d,广发证券：2018年面向合格投资者公开发行公司债券（第二期）募集说明书,广发证券股份有限公司 （住所：广东省广州市黄埔区中新广州知识城腾飞一街 2 号 618 室） 2018 年面向合格投资者公开发行公司债券 （第二期）募集说明书 主承销商/簿记管理人/债券受托管理人 （,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-08-20/3304f2bb-7ddd-4e6b-9ef4-1cca330c9671.PDF,2018-08-20,PDF
86984551-8611-491b-b6fb-721c85a58cc5,棕榈股份：2018年面向合格投资者公开发行公司债券（第一期）募集说明书,股票简称：棕榈股份 股票代码： 002431 棕榈生态城镇发展股份有限公司 （住所：中山市小榄镇绩西祥丰中路 21 号） 2018 年面向合格投资者公开发行公司债券 （第一期） 募集说明书 主承销商/,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-02-01/e36e8f17-b1ca-4bed-8369-0056bd22acc0.PDF,2018-02-01,PDF
9a0e9633-3abe-47f9-9476-b607669b2ba7,金科股份：2018年面向合格投资者公开发行公司债券（第一期）募集说明书,金科地产集团股份有限公司 2018年面向合格投资者公开发行公司债券（第一期） 募集说明书 发行人：金科地产集团股份有限公司 住所：重庆市江北区复盛镇正街（政府大楼） 牵头主承销商、债券受托管理人、簿记,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-02-06/ba97e435-4d08-44fb-a7ba-827d15881425.PDF,2018-02-06,PDF
73a67f0f-9803-4398-ac5f-ea4235eadcb2,华侨城Ａ：2018年面向合格投资者公开发行公司债券（第二期）募集说明书,股票简称：华侨城 A 股票代码：000069 深圳华侨城股份有限公司 （住所：深圳市南山区华侨城指挥部大楼 103、105、107、111、112 室） 2018 年面向合格投资者公开发行公司债券 （,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-02-01/b63f3d46-2053-4433-9637-bb40954997f5.PDF,2018-02-01,PDF
46f56eaf-b784-46f8-93a1-c2edb67974e2,天齐锂业：2018年面向合格投资者公开发行公司债券（第一期）募集说明书,1 股票简称：天齐锂业 股票代码：002466 发行人：天齐锂业股份有限公司 （住所：四川省射洪县太和镇城北） 2018年面向合格投资者公开发行公司债券 （第一期） 募集说明书 主承销商 （住所：成都,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-01-30/0e00eeed-eb0f-40db-ae1a-a5e636e04b4f.PDF,2018-01-30,PDF
